Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type,Year,Month
CLM00000001,C00303657,V00303657,10000.0,2025-04-21,1,2025,4
CLM00000002,C00160067,V00160067,10000.0,2025-02-27,1,2025,2
CLM00000003,C00221261,V00221261,10000.0,2025-03-21,1,2025,3
CLM00000004,C00618958,V00618958,10000.0,2025-08-14,1,2025,8
CLM00000005,C00285623,V00285623,10000.0,2025-04-14,1,2025,4
CLM00000006,C00304383,V00304383,10000.0,2025-04-21,1,2025,4
CLM00000007,C00989849,V00989849,10000.0,2025-12-28,1,2025,12
CLM00000008,C00991774,V00991774,10000.0,2025-12-28,1,2025,12
CLM00000009,C00515462,V00515462,10000.0,2025-07-07,1,2025,7
CLM00000010,C00348856,V00348856,10000.0,2025-05-07,1,2025,5
CLM00000011,C00324079,V00324079,10000.0,2025-04-28,1,2025,4
CLM00000012,C00368674,V00368674,10000.0,2025-05-14,1,2025,5
CLM00000013,C00385513,V00385513,10000.0,2025-05-21,1,2025,5
CLM00000014,C00972233,V00972233,10000.0,2025-12-21,1,2025,12
CLM00000015,C00036085,V00036085,10000.0,2025-01-13,1,2025,1
CLM00000016,C00056396,V00056396,10000.0,2025-01-20,1,2025,1
CLM00000017,C00074210,V00074210,10000.0,2025-01-27,1,2025,1
CLM00000018,C00805184,V00805184,10000.0,2025-10-21,1,2025,10
CLM00000019,C00953128,V00953128,10000.0,2025-12-14,1,2025,12
CLM00000020,C00324095,V00324095,10000.0,2025-04-28,1,2025,4
CLM00000021,C00552860,V00552860,10000.0,2025-07-21,1,2025,7
CLM00000022,C00325184,V00325184,10000.0,2025-04-28,1,2025,4
CLM00000023,C00933395,V00933395,10000.0,2025-12-07,1,2025,12
CLM00000024,C00141670,V00141670,10000.0,2025-02-20,1,2025,2
CLM00000025,C00055542,V00055542,10000.0,2025-01-20,1,2025,1
CLM00000026,C00888969,V00888969,10000.0,2025-11-21,1,2025,11
CLM00000027,C00933024,V00933024,10000.0,2025-12-07,1,2025,12
CLM00000028,C00122714,V00122714,10000.0,2025-02-13,1,2025,2
CLM00000029,C00453309,V00453309,10000.0,2025-06-14,1,2025,6
CLM00000030,C00434167,V00434167,10000.0,2025-06-07,1,2025,6
CLM00000031,C00971112,V00971112,10000.0,2025-12-21,1,2025,12
CLM00000032,C00989781,V00989781,10000.0,2025-12-28,1,2025,12
CLM00000033,C00766055,V00766055,10000.0,2025-10-07,1,2025,10
CLM00000034,C00851768,V00851768,10000.0,2025-11-07,1,2025,11
CLM00000035,C00972383,V00972383,10000.0,2025-12-21,1,2025,12
CLM00000036,C00159838,V00159838,10000.0,2025-02-27,1,2025,2
CLM00000037,C00451831,V00451831,10000.0,2025-06-14,1,2025,6
CLM00000038,C00871484,V00871484,10000.0,2025-11-14,1,2025,11
CLM00000039,C00182120,V00182120,10000.0,2025-03-07,1,2025,3
CLM00000040,C00637417,V00637417,10000.0,2025-08-21,1,2025,8
CLM00000041,C00055059,V00055059,10000.0,2025-01-20,1,2025,1
CLM00000042,C00368314,V00368314,10000.0,2025-05-14,1,2025,5
CLM00000043,C00571965,V00571965,10000.0,2025-07-28,1,2025,7
CLM00000044,C00888723,V00888723,10000.0,2025-11-21,1,2025,11
CLM00000045,C00637706,V00637706,10000.0,2025-08-21,1,2025,8
CLM00000046,C00952845,V00952845,10000.0,2025-12-14,1,2025,12
CLM00000047,C00909768,V00909768,10000.0,2025-11-28,1,2025,11
CLM00000048,C00076355,V00076355,10000.0,2025-01-27,1,2025,1
CLM00000049,C00490130,V00490130,10000.0,2025-06-28,1,2025,6
CLM00000050,C00199515,V00199515,10000.0,2025-03-14,1,2025,3
CLM00000051,C00122476,V00122476,10000.0,2025-02-13,1,2025,2
CLM00000052,C00218770,V00218770,10000.0,2025-03-21,1,2025,3
CLM00000053,C00489789,V00489789,10000.0,2025-06-28,1,2025,6
CLM00000054,C00683733,V00683733,10000.0,2025-09-07,1,2025,9
CLM00000055,C00722334,V00722334,10000.0,2025-09-21,1,2025,9
CLM00000056,C00953418,V00953418,10000.0,2025-12-14,1,2025,12
CLM00000057,C00851519,V00851519,10000.0,2025-11-07,1,2025,11
CLM00000058,C00989912,V00989912,10000.0,2025-12-28,1,2025,12
CLM00000059,C00180904,V00180904,10000.0,2025-03-07,1,2025,3
CLM00000060,C00704523,V00704523,10000.0,2025-09-14,1,2025,9
CLM00000061,C00703529,V00703529,10000.0,2025-09-14,1,2025,9
CLM00000062,C00451157,V00451157,10000.0,2025-06-14,1,2025,6
CLM00000063,C00238219,V00238219,10000.0,2025-03-28,1,2025,3
CLM00000064,C00056925,V00056925,10000.0,2025-01-20,1,2025,1
CLM00000065,C00432769,V00432769,10000.0,2025-06-07,1,2025,6
CLM00000066,C00266832,V00266832,10000.0,2025-04-07,1,2025,4
CLM00000067,C00785796,V00785796,10000.0,2025-10-14,1,2025,10
CLM00000068,C00907795,V00907795,10000.0,2025-11-28,1,2025,11
CLM00000069,C00909585,V00909585,10000.0,2025-11-28,1,2025,11
CLM00000070,C00471337,V00471337,10000.0,2025-06-21,1,2025,6
CLM00000071,C00017275,V00017275,10000.0,2025-01-06,1,2025,1
CLM00000072,C00366477,V00366477,10000.0,2025-05-14,1,2025,5
CLM00000073,C00907595,V00907595,10000.0,2025-11-28,1,2025,11
CLM00000074,C00766695,V00766695,10000.0,2025-10-07,1,2025,10
CLM00000075,C00035573,V00035573,10000.0,2025-01-13,1,2025,1
CLM00000076,C00889952,V00889952,10000.0,2025-11-21,1,2025,11
CLM00000077,C00141008,V00141008,10000.0,2025-02-20,1,2025,2
CLM00000078,C00571760,V00571760,10000.0,2025-07-28,1,2025,7
CLM00000079,C00932064,V00932064,10000.0,2025-12-07,1,2025,12
CLM00000080,C00637402,V00637402,10000.0,2025-08-21,1,2025,8
CLM00000081,C00304596,V00304596,10000.0,2025-04-21,1,2025,4
CLM00000082,C00160376,V00160376,10000.0,2025-02-27,1,2025,2
CLM00000083,C00075794,V00075794,10000.0,2025-01-27,1,2025,1
CLM00000084,C00723926,V00723926,10000.0,2025-09-21,1,2025,9
CLM00000085,C00990378,V00990378,10000.0,2025-12-28,1,2025,12
CLM00000086,C00637641,V00637641,10000.0,2025-08-21,1,2025,8
CLM00000087,C00121434,V00121434,10000.0,2025-02-13,1,2025,2
CLM00000088,C00434309,V00434309,10000.0,2025-06-07,1,2025,6
CLM00000089,C00489902,V00489902,10000.0,2025-06-28,1,2025,6
CLM00000090,C00514530,V00514530,10000.0,2025-07-07,1,2025,7
CLM00000091,C00141294,V00141294,10000.0,2025-02-20,1,2025,2
CLM00000092,C00491844,V00491844,10000.0,2025-06-28,1,2025,6
CLM00000093,C00888513,V00888513,10000.0,2025-11-21,1,2025,11
CLM00000094,C00765852,V00765852,10000.0,2025-10-07,1,2025,10
CLM00000095,C00723130,V00723130,10000.0,2025-09-21,1,2025,9
CLM00000096,C00870864,V00870864,10000.0,2025-11-14,1,2025,11
CLM00000097,C00140389,V00140389,10000.0,2025-02-20,1,2025,2
CLM00000098,C00120665,V00120665,10000.0,2025-02-13,1,2025,2
CLM00000099,C00990404,V00990404,10000.0,2025-12-28,1,2025,12
CLM00000100,C00907331,V00907331,10000.0,2025-11-28,1,2025,11
CLM00000101,C00908925,V00908925,10000.0,2025-11-28,1,2025,11
CLM00000102,C00121112,V00121112,10000.0,2025-02-13,1,2025,2
CLM00000103,C00786555,V00786555,10000.0,2025-10-14,1,2025,10
CLM00000104,C00823157,V00823157,10000.0,2025-10-28,1,2025,10
CLM00000105,C00349309,V00349309,10000.0,2025-05-07,1,2025,5
CLM00000106,C00636854,V00636854,10000.0,2025-08-21,1,2025,8
CLM00000107,C00851797,V00851797,10000.0,2025-11-07,1,2025,11
CLM00000108,C00266061,V00266061,10000.0,2025-04-07,1,2025,4
CLM00000109,C00017174,V00017174,10000.0,2025-01-06,1,2025,1
CLM00000110,C00766696,V00766696,10000.0,2025-10-07,1,2025,10
CLM00000111,C00870110,V00870110,10000.0,2025-11-14,1,2025,11
CLM00000112,C00684669,V00684669,10000.0,2025-09-07,1,2025,9
CLM00000113,C00323755,V00323755,10000.0,2025-04-28,1,2025,4
CLM00000114,C00180766,V00180766,10000.0,2025-03-07,1,2025,3
CLM00000115,C00035861,V00035861,10000.0,2025-01-13,1,2025,1
CLM00000116,C00952089,V00952089,10000.0,2025-12-14,1,2025,12
CLM00000117,C00951082,V00951082,10000.0,2025-12-14,1,2025,12
CLM00000118,C00056226,V00056226,10000.0,2025-01-20,1,2025,1
CLM00000119,C00785205,V00785205,10000.0,2025-10-14,1,2025,10
CLM00000120,C00018670,V00018670,10000.0,2025-01-06,1,2025,1
CLM00000121,C00201534,V00201534,10000.0,2025-03-14,1,2025,3
CLM00000122,C00871374,V00871374,10000.0,2025-11-14,1,2025,11
CLM00000123,C00285277,V00285277,10000.0,2025-04-14,1,2025,4
CLM00000124,C00366887,V00366887,10000.0,2025-05-14,1,2025,5
CLM00000125,C00158752,V00158752,10000.0,2025-02-27,1,2025,2
CLM00000126,C00889414,V00889414,10000.0,2025-11-21,1,2025,11
CLM00000127,C00405853,V00405853,10000.0,2025-05-28,1,2025,5
CLM00000128,C00619897,V00619897,10000.0,2025-08-14,1,2025,8
CLM00000129,C00786033,V00786033,10000.0,2025-10-14,1,2025,10
CLM00000130,C00870336,V00870336,10000.0,2025-11-14,1,2025,11
CLM00000131,C00055174,V00055174,10000.0,2025-01-20,1,2025,1
CLM00000132,C00703301,V00703301,10000.0,2025-09-14,1,2025,9
CLM00000133,C00434278,V00434278,10000.0,2025-06-07,1,2025,6
CLM00000134,C00322970,V00322970,10000.0,2025-04-28,1,2025,4
CLM00000135,C00324379,V00324379,10000.0,2025-04-28,1,2025,4
CLM00000136,C00554541,V00554541,10000.0,2025-07-21,1,2025,7
CLM00000137,C00785404,V00785404,10000.0,2025-10-14,1,2025,10
CLM00000138,C00199995,V00199995,10000.0,2025-03-14,1,2025,3
CLM00000139,C00140350,V00140350,10000.0,2025-02-20,1,2025,2
CLM00000140,C00102260,V00102260,10000.0,2025-02-06,1,2025,2
CLM00000141,C00724061,V00724061,10000.0,2025-09-21,1,2025,9
CLM00000142,C00554534,V00554534,10000.0,2025-07-21,1,2025,7
CLM00000143,C00535532,V00535532,10000.0,2025-07-14,1,2025,7
CLM00000144,C00303431,V00303431,10000.0,2025-04-21,1,2025,4
CLM00000145,C00932688,V00932688,10000.0,2025-12-07,1,2025,12
CLM00000146,C00552308,V00552308,10000.0,2025-07-21,1,2025,7
CLM00000147,C00888419,V00888419,10000.0,2025-11-21,1,2025,11
CLM00000148,C00515305,V00515305,10000.0,2025-07-07,1,2025,7
CLM00000149,C00552968,V00552968,10000.0,2025-07-21,1,2025,7
CLM00000150,C00600511,V00600511,10000.0,2025-08-07,1,2025,8
